id,date,season,city,venue,team1,team2,toss_winner,toss_decision,winner,result,dl_applied,player_of_match,umpire1,umpire2
335982,2008-04-18,2008,Bangalore,M Chinnaswamy Stadium,kolkata knight riders,royal challengers bengaluru,royal challengers bengaluru,field,kolkata knight riders,normal,0,BB McCullum,Asad Rauf,RE Koertzen
335983,2008-04-19,2008,Chandigarh,"Punjab Cricket Association Stadium, Mohali",chennai super kings,punjab kings,chennai super kings,bat,chennai super kings,normal,0,MEK Hussey,MR Benson,SL Shastri
335984,2008-04-19,2008,Delhi,Feroz Shah Kotla,delhi capitals,rajasthan royals,rajasthan royals,bat,delhi capitals,normal,0,MF Maharoof,Aleem Dar,GA Pratapkumar
335986,2008-04-20,2008,Kolkata,Eden Gardens,sunrisers hyderabad,kolkata knight riders,sunrisers hyderabad,bat,kolkata knight riders,normal,0,DJ Hussey,BF Bowden,K Hariharan
335985,2008-04-20,2008,Mumbai,Wankhede Stadium,mumbai indians,royal challengers bengaluru,mumbai indians,bat,royal challengers bengaluru,normal,0,MV Boucher,SJ Davis,DJ Harper
335987,2008-04-21,2008,Jaipur,Sawai Mansingh Stadium,rajasthan royals,punjab kings,punjab kings,bat,rajasthan royals,normal,0,SR Watson,Aleem Dar,RB Tiffin
335988,2008-04-22,2008,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",sunrisers hyderabad,delhi capitals,sunrisers hyderabad,bat,delhi capitals,normal,0,V Sehwag,IL Howell,AM Saheba
335989,2008-04-23,2008,Chennai,"MA Chidambaram Stadium, Chepauk",chennai super kings,mumbai indians,mumbai indians,field,chennai super kings,normal,0,ML Hayden,DJ Harper,GA Pratapkumar
335990,2008-04-24,2008,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",sunrisers hyderabad,rajasthan royals,rajasthan royals,field,rajasthan royals,normal,0,YK Pathan,Asad Rauf,MR Benson
335991,2008-04-25,2008,Chandigarh,"Punjab Cricket Association Stadium, Mohali",punjab kings,mumbai indians,mumbai indians,field,punjab kings,normal,0,KC Sangakkara,Aleem Dar,AM Saheba
335993,2008-04-26,2008,Chennai,"MA Chidambaram Stadium, Chepauk",kolkata knight riders,chennai super kings,kolkata knight riders,bat,chennai super kings,normal,0,JDP Oram,BF Bowden,AV Jayaprakash
335992,2008-04-26,2008,Bangalore,M Chinnaswamy Stadium,royal challengers bengaluru,rajasthan royals,rajasthan royals,field,rajasthan royals,normal,0,SR Watson,MR Benson,IL Howell
335994,2008-04-27,2008,Mumbai,Dr DY Patil Sports Academy,sunrisers hyderabad,mumbai indians,sunrisers hyderabad,field,sunrisers hyderabad,normal,0,AC Gilchrist,Asad Rauf,SL Shastri
335995,2008-04-27,2008,Chandigarh,"Punjab Cricket Association Stadium, Mohali",punjab kings,delhi capitals,delhi capitals,bat,punjab kings,normal,0,SM Katich,RE Koertzen,I Shivram
335996,2008-04-28,2008,Bangalore,M Chinnaswamy Stadium,royal challengers bengaluru,chennai super kings,chennai super kings,bat,chennai super kings,normal,0,MS Dhoni,BR Doctrove,RB Tiffin
335997,2008-04-29,2008,Kolkata,Eden Gardens,mumbai indians,kolkata knight riders,kolkata knight riders,bat,mumbai indians,normal,0,ST Jayasuriya,BF Bowden,AV Jayaprakash
335998,2008-04-30,2008,Delhi,Feroz Shah Kotla,delhi capitals,royal challengers bengaluru,royal challengers bengaluru,field,delhi capitals,normal,0,GD McGrath,Aleem Dar,I Shivram
335999,2008-05-01,2008,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",punjab kings,sunrisers hyderabad,punjab kings,field,punjab kings,normal,0,SE Marsh,BR Doctrove,RB Tiffin
336000,2008-05-01,2008,Jaipur,Sawai Mansingh Stadium,kolkata knight riders,rajasthan royals,rajasthan royals,bat,rajasthan royals,normal,0,SA Asnodkar,RE Koertzen,GA Pratapkumar
336001,2008-05-02,2008,Chennai,"MA Chidambaram Stadium, Chepauk",delhi capitals,chennai super kings,chennai super kings,bat,delhi capitals,normal,0,V Sehwag,BF Bowden,K Hariharan
336034,2008-05-03,2008,Bangalore,M Chinnaswamy Stadium,royal challengers bengaluru,sunrisers hyderabad,sunrisers hyderabad,field,royal challengers bengaluru,normal,0,P Kumar,BR Doctrove,SL Shastri
336003,2008-05-03,2008,Chandigarh,"Punjab Cricket Association Stadium, Mohali",punjab kings,kolkata knight riders,punjab kings,bat,punjab kings,normal,0,IK Pathan,DJ Harper,I Shivram
336004,2008-05-04,2008,Mumbai,Dr DY Patil Sports Academy,delhi capitals,mumbai indians,delhi capitals,field,mumbai indians,normal,0,SM Pollock,IL Howell,RE Koertzen
336005,2008-05-04,2008,Jaipur,Sawai Mansingh Stadium,rajasthan royals,chennai super kings,chennai super kings,bat,rajasthan royals,normal,0,Sohail Tanvir,Asad Rauf,AV Jayaprakash
336006,2008-05-05,2008,Bangalore,M Chinnaswamy Stadium,royal challengers bengaluru,punjab kings,punjab kings,field,punjab kings,normal,0,S Sreesanth,SJ Davis,BR Doctrove
336007,2008-05-06,2008,Chennai,"MA Chidambaram Stadium, Chepauk",chennai super kings,sunrisers hyderabad,sunrisers hyderabad,field,sunrisers hyderabad,normal,0,AC Gilchrist,MR Benson,RB Tiffin
336008,2008-05-07,2008,Mumbai,Dr DY Patil Sports Academy,rajasthan royals,mumbai indians,mumbai indians,field,mumbai indians,normal,0,A Nehra,DJ Harper,RE Koertzen
336010,2008-05-08,2008,Kolkata,Eden Gardens,kolkata knight riders,royal challengers bengaluru,kolkata knight riders,bat,kolkata knight riders,normal,0,SC Ganguly,Asad Rauf,IL Howell
336009,2008-05-08,2008,Delhi,Feroz Shah Kotla,delhi capitals,chennai super kings,chennai super kings,field,chennai super kings,normal,0,MS Dhoni,Aleem Dar,RB Tiffin
336011,2008-05-09,2008,Jaipur,Sawai Mansingh Stadium,rajasthan royals,sunrisers hyderabad,rajasthan royals,field,rajasthan royals,normal,0,YK Pathan,MR Benson,AM Saheba
336013,2008-05-10,2008,Chennai,"MA Chidambaram Stadium, Chepauk",punjab kings,chennai super kings,punjab kings,field,chennai super kings,normal,0,L Balaji,AV Jayaprakash,BG Jerling
336014,2008-05-11,2008,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",sunrisers hyderabad,kolkata knight riders,kolkata knight riders,bat,kolkata knight riders,normal,0,SC Ganguly,IL Howell,AM Saheba
336015,2008-05-11,2008,Jaipur,Sawai Mansingh Stadium,rajasthan royals,delhi capitals,rajasthan royals,field,rajasthan royals,normal,0,SR Watson,SJ Davis,RE Koertzen
336016,2008-05-12,2008,Chandigarh,"Punjab Cricket Association Stadium, Mohali",royal challengers bengaluru,punjab kings,royal challengers bengaluru,bat,punjab kings,normal,0,SE Marsh,BR Doctrove,I Shivram
336017,2008-05-13,2008,Kolkata,Eden Gardens,delhi capitals,kolkata knight riders,kolkata knight riders,bat,kolkata knight riders,normal,0,Shoaib Akhtar,Asad Rauf,IL Howell
336018,2008-05-14,2008,Mumbai,Wankhede Stadium,chennai super kings,mumbai indians,mumbai indians,field,mumbai indians,normal,0,ST Jayasuriya,BR Doctrove,AM Saheba
336020,2008-05-15,2008,Delhi,Feroz Shah Kotla,sunrisers hyderabad,delhi capitals,sunrisers hyderabad,field,delhi capitals,normal,0,A Mishra,BG Jerling,GA Pratapkumar
336021,2008-05-16,2008,Mumbai,Wankhede Stadium,kolkata knight riders,mumbai indians,mumbai indians,field,mumbai indians,normal,0,SM Pollock,BR Doctrove,DJ Harper
336023,2008-05-17,2008,Jaipur,Sawai Mansingh Stadium,royal challengers bengaluru,rajasthan royals,royal challengers bengaluru,field,rajasthan royals,normal,0,GC Smith,BF Bowden,SL Shastri
336022,2008-05-17,2008,Delhi,Feroz Shah Kotla,delhi capitals,punjab kings,delhi capitals,bat,punjab kings,D/L,1,DPMD Jayawardene,AV Jayaprakash,RE Koertzen
336025,2008-05-18,2008,Kolkata,Eden Gardens,kolkata knight riders,chennai super kings,kolkata knight riders,bat,chennai super kings,D/L,1,M Ntini,Asad Rauf,K Hariharan
336024,2008-05-18,2008,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",mumbai indians,sunrisers hyderabad,sunrisers hyderabad,field,mumbai indians,normal,0,DJ Bravo,BR Doctrove,DJ Harper
336026,2008-05-19,2008,Bangalore,M Chinnaswamy Stadium,delhi capitals,royal challengers bengaluru,delhi capitals,field,delhi capitals,normal,0,SP Goswami,SJ Davis,GA Pratapkumar
336027,2008-05-20,2008,Kolkata,Eden Gardens,rajasthan royals,kolkata knight riders,rajasthan royals,field,rajasthan royals,normal,0,YK Pathan,BG Jerling,RE Koertzen
336028,2008-05-21,2008,Mumbai,Wankhede Stadium,punjab kings,mumbai indians,mumbai indians,field,punjab kings,normal,0,SE Marsh,BF Bowden,GA Pratapkumar
336029,2008-05-21,2008,Chennai,"MA Chidambaram Stadium, Chepauk",royal challengers bengaluru,chennai super kings,royal challengers bengaluru,bat,royal challengers bengaluru,normal,0,A Kumble,DJ Harper,I Shivram
336031,2008-05-23,2008,Chandigarh,"Punjab Cricket Association Stadium, Mohali",punjab kings,sunrisers hyderabad,punjab kings,field,punjab kings,normal,0,SE Marsh,Asad Rauf,SJ Davis
336032,2008-05-24,2008,Delhi,Feroz Shah Kotla,delhi capitals,mumbai indians,delhi capitals,field,delhi capitals,normal,0,KD Karthik,BF Bowden,K Hariharan
336033,2008-05-24,2008,Chennai,"MA Chidambaram Stadium, Chepauk",chennai super kings,rajasthan royals,rajasthan royals,bat,rajasthan royals,normal,0,JA Morkel,DJ Harper,SL Shastri
336002,2008-05-25,2008,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",sunrisers hyderabad,royal challengers bengaluru,sunrisers hyderabad,bat,royal challengers bengaluru,normal,0,R Vinay Kumar,Asad Rauf,RE Koertzen
336035,2008-05-25,2008,Kolkata,Eden Gardens,punjab kings,kolkata knight riders,punjab kings,bat,kolkata knight riders,normal,0,Umar Gul,SJ Davis,I Shivram
336036,2008-05-26,2008,Jaipur,Sawai Mansingh Stadium,rajasthan royals,mumbai indians,rajasthan royals,field,rajasthan royals,normal,0,Sohail Tanvir,BF Bowden,K Hariharan
